timestamp,ambient (ground),tank (left),ambient (tank),tank (right),line (outer),line (inner)
1564273633.23,518,598,525,604,525,480
1564273634.23,517,598,524,604,525,480
1564273635.23,517,598,525,604,524,480
1564273636.23,517,598,525,604,524,480
1564273637.24,518,598,524,604,525,480
1564273638.24,517,598,524,604,524,480
1564273639.24,517,598,524,604,525,480
1564273640.24,517,598,523,604,524,480
1564273641.24,517,598,523,604,524,480
1564273642.25,517,598,523,604,525,480
1564273643.25,517,598,523,604,525,480
1564273644.25,517,597,523,604,525,480
1564273645.25,517,598,523,604,525,480
1564273646.25,517,598,523,604,524,480
1564273647.25,517,598,523,604,525,480
1564273648.26,517,597,523,604,525,480
1564273649.26,517,598,523,603,524,480
1564273650.26,517,598,523,603,524,480
1564273651.26,517,597,523,604,524,479
1564273652.26,517,598,523,604,524,480
1564273653.27,517,598,524,603,524,479
1564273654.27,517,598,523,604,524,479
1564273655.27,517,598,523,603,524,480
1564273656.27,517,597,523,604,524,479
1564273657.28,517,598,523,603,524,480
1564273658.28,516,598,524,604,524,479
1564273659.28,517,598,524,603,524,479
1564273660.28,516,597,524,604,524,479
1564273661.28,517,598,525,603,524,479
1564273662.28,517,598,525,604,524,479
1564273663.29,517,598,525,604,524,479
1564273664.29,517,597,526,604,524,479
1564273665.29,517,598,525,604,524,479
1564273666.29,517,597,525,604,524,479
1564273667.29,517,598,526,604,524,479
1564273668.3,517,598,526,603,524,479
1564273669.3,517,598,526,604,524,479
1564273670.3,517,598,525,604,524,479
1564273671.3,517,598,525,604,524,479
1564273672.3,517,598,525,604,524,479
1564273673.31,517,598,524,604,524,479
1564273674.31,517,598,524,604,524,479
1564273675.31,517,597,523,604,524,479
1564273676.31,516,598,523,604,523,479
1564273677.32,517,598,523,604,524,479
1564273678.32,516,598,522,604,524,479
1564273679.32,516,598,522,604,524,479
1564273680.32,517,598,522,603,524,479
1564273681.32,517,598,522,604,523,479
1564273682.32,517,597,522,604,524,479
1564273683.32,516,598,521,603,524,479
1564273684.33,516,597,522,604,524,479
1564273685.33,517,598,522,603,524,479
1564273686.33,516,597,522,604,524,479
1564273687.33,516,598,522,604,524,479
1564273688.34,516,597,522,604,523,479
1564273689.34,516,598,522,604,523,479
1564273690.34,516,597,522,604,524,479
1564273691.34,516,597,522,604,524,479
1564273692.34,516,598,522,604,524,479
1564273693.35,516,597,522,603,524,479
1564273694.35,517,597,522,604,523,479
1564273695.35,516,598,522,604,523,479
1564273696.35,516,597,522,604,523,479
1564273697.36,516,597,522,604,523,479
1564273698.36,516,597,522,604,523,479
1564273699.36,516,597,522,604,523,479
1564273700.36,516,598,522,604,523,479
1564273701.36,516,597,522,604,523,479
1564273702.36,516,597,523,603,523,479
1564273703.36,516,598,523,604,523,479
1564273704.37,516,597,522,604,523,479
1564273705.37,516,597,523,604,523,479
